PCODE,PLACE,lat,lon,ALTITUDE,LENGTH,WIDTH,SURFACE,STRENGTH,DATE_
LB3,Boda,4.31666700000,17.48333300000,525,850,40,BLA,3TN,13/04/2006
UA1,Bossangoa,6.50000000000,17.43333300000,499,1800,30,BLA,DC4,13/04/2006
NM1,Bouar,5.96666700000,15.58333300000,1024,1900,35,PM/BL,C160,13/04/2006
UA5,Bouca,6.51666700000,18.26666700000,467,1260,45,BLA,DC3,13/04/2006
UP1,Bozoum,6.35000000000,16.31666700000,675,1120,50,BLA,DC3,13/04/2006
HK1,Bria,6.52666700000,21.99000000000,603,1800,47,BLA,C160,13/04/2006
MK5,Carnot,4.93333300000,14.90000000000,605,1200,30,BASG,DC3,13/04/2006
MP2,Damara,4.95000000000,18.70000000000,435,750,30,BASG,MH1521,13/04/2006
KE3,Dekoa,6.30000000000,19.08333300000,550,725,30,BLA,3TN,13/04/2006
MK3,Gamboula,4.13333300000,15.15000000000,610,850,20,BLA,3TN,18/05/2005
UK3,Grimari,5.68333300000,20.05000000000,400,1000,25,BLAG,DC3,18/05/2005
NG1,Kaga-Bandoro,6.98333300000,19.18333300000,450,1155,30,BLS,DC3,18/05/2005
SIGCAF8036,Kavadja,7.96666700000,23.53333300000,730,1210,25,BLAG,DC3,18/05/2005
BK4,K‚mb‚,4.60000000000,21.86666700000,583,1280,47,BASG,DC3,18/05/2005
UK4,Kouango,5.00000000000,19.96666700000,360,800,25,BLA,L‚ger,18/05/2005
SIGCAF8012,Gordil,9.58333300000,21.73333300000,435,1650,30,BL,DC3,18/05/2005
BK1,Mobaye,4.31666700000,21.15000000000,406,2000,40,BL,DC4,18/05/2005
BB1,Nd‚l‚,8.43000000000,20.63444400000,499,1500,30,BL,DC4,18/05/2005
HB5,Mboki,5.35000000000,25.91666700000,600,1700,35,BL,DC4,18/05/2005
HB1,Obo,5.40000000000,26.48333300000,650,650,20,BL,MH1521,18/05/2005
HK3,Ouadda,8.01666700000,22.40000000000,750,1500,35,BL,DC4,18/05/2005
VK2,Ouanda-Djalle,8.90000000000,22.78333300000,605,1500,22,BLA,DC3,18/05/2005
UP5,Paoua,7.25000000000,16.43333300000,621,1400,35,BL,DC3,18/05/2005
MB4,Rafai,4.98333300000,23.91666700000,536,1295,27,BLG,DC3,18/05/2005
SIGCAF4073~0,Sarki,6.95000000000,15.33333300000,1100,800,20,BL,3TN,18/05/2005
KE1,Sibut,5.73333300000,19.08333300000,430,800,30,BASG,3TN,18/05/2005
HK2,Yalinga,6.51666700000,23.26666700000,602,1100,25,BL,DC3,18/05/2005
HB3,Zemio,5.05000000000,25.15000000000,608,1335,45,BLG,DC3,18/05/2005
BK3,Alindao,5.01666700000,21.20000000000,448,800,25,BL,3TN,21/09/2005
MB5,Bakouma,5.68333300000,22.80000000000,500,1200,25,BL,13TN,21/09/2005
UK1,Bambari,5.85000000000,20.65000000000,472,1530,40,BL,C160,21/09/2005
HB2,Bambouti,5.43333300000,27.21666700000,690,1200,30,BLAS,DC3,21/09/2005
MB1,Bangassou,4.78333300000,22.78333300000,520,1800,35,BL,C160,21/09/2005
UA6,Batangafo,7.31666700000,18.30000000000,420,1000,50,BLG,PA31,21/09/2005
MK1,B‚rb‚rati,4.22611100000,15.78555600000,588,1660,30,PM/BL,C160,21/09/2005
VK1,Birao,10.23333300000,22.71666700000,517,1800,35,BL,DC4,21/09/2005
UP2,Bocaranga,6.91666700000,15.61666700000,1056,1200,30,BLAS,DC3,21/09/2005
,Avakaba,8.33333300000,20.11666700000,0,2900,60,,SE210,30/09/2005
SIGCAF1732,Bobangui,4.05000000000,18.08333300000,0,2200,35,,DC3,30/09/2005
UK5,Ippy,6.23333300000,21.20000000000,0,1000,15,,3TN,30/09/2005
SIGCAF5528,Obo Nguilinguili,5.30000000000,26.45000000000,0,1100,42,,C160,30/09/2005
SIGCAF5239,Sangba,7.88333300000,20.88333300000,0,1000,20,,3TN,30/09/2005
MK4,Sosso Nakombo,3.91666700000,15.48333300000,0,750,32,,3TN,30/09/2005
,Sam-Ouandja,8.52404500000,23.24010500000,0,0,0,,,00000000
,Kabo,7.69077800000,18.62898100000,0,0,0,,,00000000
,Tiringoulou,9.55967600000,22.12734200000,0,0,0,,,00000000
,Bangui,4.40217900000,18.51838100000,0,0,0,,,00000000
